,School,Group,Type
0,Northwood-Kensett MIddle/High School,10,Ag
1,Harris-Lake Park High School,7,Ag
2,Central Lyon Secondary School,13,Ag
3,Lake Mills Senior High School,10,Ag
4,Sibley-Ocheyedan High School,13,Ag
5,Estherville Lincoln Central High School,7,Ag
6,North Union High School,7,Ag
7,West Lyon High School,13,Ag
8,North Iowa High School,15,Ag
9,St Ansgar High School,10,Ag
10,Crestwood High School,23,Ag
11,Kee High School,23,Ag
12,Riceville High School,10,Ag
13,George-Little Rock Senior High School,13,Ag
14,Okoboji High School,7,Ag
15,Decorah High School,23,Ag
16,Central Springs High School,10,Ag
17,Osage High School,10,Ag
18,Waukon High School,23,Ag
19,Forest City High School,15,Ag
20,Graettinger-Terril High School,7,Ag
21,Rock Valley High School,13,Ag
22,Western Christian High School,13,Ag
23,Boyden-Hull High School,13,Ag
24,Hartley-Melvin-Sanborn High School,24,Ag
25,Sheldon High School,13,Ag
26,South Winneshiek High School,23,Ag
27,Spencer High School,7,Ag
28,Clear Lake High School,10,Ag
29,Emmetsburg High School,7,Ag
30,Turkey Valley Jr-Sr High School,23,Ag
31,West Hancock High School,15,Ag
32,Garner-Hayfield-Ventura High School,15,Ag
33,Sioux Center High School,13,Ag
34,John R Mott Jr/Hi School,23,Ag
35,Algona High School,15,Ag
36,Charles City High School,10,Ag
37,New Hampton High School,1,Ag
38,Rockford Junior-Senior High School,10,Ag
39,MFL MarMac HS,23,Ag
40,Unity Christian High School,13,Ag
41,West Sioux High School,13,Ag
42,MOC-Floyd Valley High School,13,Ag
43,South O'Brien Secondary School,13,Ag
44,North Fayette Valley High School,23,Ag
45,West Bend-Mallard High School,7,Ag
46,Nashua-Plainfield Junior-SeniorHigh School,1,Ag
47,North Butler Jr/Sr High School,10,Ag
48,West Fork High School,10,Ag
49,Sioux Central High School,24,Ag
50,Central Middle School/High School,23,Ag
51,Sumner-Fredericksburg HS,22,Ag
52,Belmond-Klemme Community Jr-Sr High School,15,Ag
53,Akron Westfield Senior High School,13,Ag
54,MMCRU  High School,13,Ag
55,Clayton Ridge High School,20,Ag
56,Le Mars High School,13,Ag
57,Washington High School,18,Ag
58,Washington High School,24,Ag
59,Hampton-Dumont High School,10,Ag
60,Clarion-Goldfield-Dows High School,15,Ag
61,Pocahontas Area Middle/ High School,7,Ag
62,Waverly-Shell Rock Senior High School,1,Ag
63,Humboldt High School,15,Ag
64,Starmont High School,22,Ag
65,Wapsie Valley High School,22,Ag
66,Oelwein High School,22,Ag
67,Denver Senior High School,1,Ag
68,Eagle Grove High School,15,Ag
69,Alta-Aurelia High School,24,Ag
70,Edgewood-Colesburg High School,12,Ag
71,St Mary's High School,24,Ag
72,Hinton High School,3,Ag
73,Newell-Fonda High School,24,Ag
74,Kingsley-Pierson High School,3,Ag
75,Aplington-Parkersburg High School,1,Ag
76,Dunkerton High School,22,Ag
77,AGWSR High School,5,Ag
78,Iowa Falls - Alden High School,5,Ag
79,Manson Northwest Webster Junior High/High School,19,Ag
80,Fort Dodge High School,15,Ag
81,West Delaware High School,12,Ag
82,Ridge View High School,24,Ag
83,Woodbury Central High School,3,Ag
84,River Valley Junior- Senior High School,3,Ag
85,Jesup High School,22,Ag
86,Lawton-Bronson Junior-Senior High School,3,Ag
87,East Buchanan High School,22,Ag
88,Beckman Catholic HS,20,Ag
89,Dike-New Hartford High School,1,Ag
90,Webster City High School,15,Ag
91,Independence Junior Senior High School,22,Ag
92,East High School (Sioux City),3,Ag
93,Western Dubuque High School,20,Ag
94,Maquoketa Valley Senior High School,12,Ag
95,Hudson High School,1,Ag
96,South Hardin High School,5,Ag
97,Grundy Center High School,1,Ag
98,Odebolt Arthur Battle Creek Ida Grove High School,24,Ag
99,Gladbrook-Reinbeck Jr. High & High School,1,Ag
100,Union High School,1,Ag
101,East Sac County High School,19,Ag
102,South Hamilton Middle And High School,15,Ag
103,Cascade Junior-Senior High School,20,Ag
104,North-Linn Senior High School,12,Ag
105,Southeast Valley High School,19,Ag
106,South Central Calhoun High School,19,Ag
107,Bellevue High School,20,Ag
108,Monticello High School,12,Ag
109,Westwood High School,3,Ag
110,BCLUW High School,5,Ag
111,Central City High School,12,Ag
112,Roland-Story High School,14,Ag
113,North Tama High School,1,Ag
114,Maple Valley-Anthon Oto High School,3,Ag
115,Vinton-Shellsburg High School,9,Ag
116,Alburnett Senior High School,12,Ag
117,Anamosa High School,12,Ag
118,Gilbert  High School,14,Ag
119,GMG Secondary School,5,Ag
120,Carroll High School,19,Ag
121,Boone High School,14,Ag
122,Glidden-Ralston Jr-Sr High School,19,Ag
123,Midland Middle/High  School,20,Ag
124,Maquoketa Community High School,4,Ag
125,Linn-Mar High School,12,Ag
126,Easton Valley Junior High / High School,4,Ag
127,Ames High School,14,Ag
128,Ogden High School,14,Ag
129,Greene County High School,19,Ag
130,Marshalltown High School,5,Ag
131,Denison High School,19,Ag
132,Nevada High School,5,Ag
133,West Monona High School,3,Ag
134,West Marshall High School,5,Ag
135,Benton Community Senior High School,9,Ag
136,Colo-NESCO  Middle/High School,5,Ag
137,East Marshall Senior High School,5,Ag
138,South Tama County High School,9,Ag
139,Northeast Middle-High School,4,Ag
140,IKM-Manning High School,19,Ag
141,Prairie High School (Cedar Rapids),12,Ag
142,Ballard High School,14,Ag
143,Collins-Maxwell Middle/High School,5,Ag
144,Belle Plaine Jr/Sr High School,9,Ag
145,North Cedar Jr/Sr High School,4,Ag
146,Coon Rapids-Bayard 6-12 Attendance Center,19,Ag
147,Woodward-Granger High School,14,Ag
148,Boyer Valley Middle/High School,6,Ag
149,Calamus-Wheatland Sec Attendance Center,4,Ag
150,Baxter High School,5,Ag
151,Central DeWitt  High School,4,Ag
152,North Polk High School,14,Ag
153,Iowa Valley Jr-Sr High School,9,Ag
154,Tipton High School,18,Ag
155,Grinnell Community Senior High School,5,Ag
156,H-L-V Junior-Senior High School,9,Ag
157,Audubon Middle-High School,19,Ag
158,Bondurant-Farrar High School,14,Ag
159,West Harrison Middle School/High School,6,Ag
160,Clear Creek Amana High School,18,Ag
161,Panorama High School,2,Ag
162,Dallas Center-Grimes High School,14,Ag
163,Newton Senior High  School,5,Ag
164,Colfax-Mingo Jr/Sr High School,5,Ag
165,West Branch High School,18,Ag
166,Guthrie Center High School,2,Ag
167,Williamsburg Jr-Sr High School,9,Ag
168,Harlan High School,6,Ag
169,North Scott High School,4,Ag
170,OneSchool Global - Des Moines / Central Campus,14,Ag
171,ADM Senior High School,14,Ag
172,Waukee High School,14,Ag
173,Southeast Polk High School,14,Ag
174,Dowling Catholic High School,14,Ag
175,Wilton Jr-Sr High School,4,Ag
176,ExiraElk Horn-Kimballton High School,19,Ag
177,Montezuma High School,9,Ag
178,Lynnville-Sully High School,11,Ag
179,West Liberty High School,18,Ag
180,Missouri Valley High School,6,Ag
181,Iowa Mennonite School dba Hillcrest Academy,18,Ag
182,Van Meter High School,14,Ag
183,English Valleys Jr-Sr High School,9,Ag
184,PCM High School,11,Ag
185,West Central Valley High School,2,Ag
186,Tri-Center High School,6,Ag
187,Earlham Senior High School,2,Ag
188,Lone Tree Middle-Senior High School,18,Ag
189,AHSTW High School,6,Ag
190,Mid-Prairie High School,18,Ag
191,North Mahaska Jr-Sr High School,11,Ag
192,Tri-County JR/SR High School,9,Ag
193,CAM High School,2,Ag
194,Muscatine High School,18,Ag
195,Highland High School,18,Ag
196,Pella High School,11,Ag
197,Atlantic High School,2,Ag
198,Pella Christian High School,11,Ag
199,Pleasantville High School,11,Ag
200,Martensdale-St Marys Jr-Sr High School,14,Ag
201,Keota High School,9,Ag
202,Indianola High School,14,Ag
203,Sigourney Jr-Sr High Sch,21,Ag
204,Winterset Senior High School,17,Ag
205,Knoxville High School,11,Ag
206,Nodaway Valley High School,2,Ag
207,Oskaloosa High School,11,Ag
208,Louisa-Muscatine JR/SR High School,18,Ag
209,Riverside Community High School,6,Ag
210,Washington High School,18,Ag
211,Washington High School,24,Ag
212,Columbus Community High School,18,Ag
213,Griswold Middle/High School,16,Ag
214,Melcher-Dallas High School,11,Ag
215,Twin Cedars Jr-Sr High School,11,Ag
216,Interstate 35 High School,17,Ag
217,Southeast Warren Jr-Sr High School,14,Ag
218,Orient-Macksburg Senior High School,2,Ag
219,Wapello Senior High School,8,Ag
220,Eddyville-Blakesburg-Fremont Jr/Sr High,11,Ag
221,Pekin Community Junior/ Senior High School,21,Ag
222,WACO High School,8,Ag
223,Winfield-Mt Union Jr-Sr High School,8,Ag
224,Creston High School,2,Ag
225,Glenwood Senior High School,6,Ag
226,Clarke Community High School,17,Ag
227,Murray Jr/Sr High,17,Ag
228,Albia High School,11,Ag
229,East Union Middle-High School,17,Ag
230,Red Oak Junior/Senior High School,16,Ag
231,Chariton High School,11,Ag
232,Ottumwa High School,21,Ag
233,Mediapolis High School,8,Ag
234,East Mills Jr/Sr High School,16,Ag
235,Fairfield High School,21,Ag
236,Southwest Valley High school,2,Ag
237,Stanton High School,16,Ag
238,Cardinal High School,21,Ag
239,Mount Pleasant High School,8,Ag
240,Fremont-Mills Middle And Senior High School,16,Ag
241,Moravia High School,11,Ag
242,Lenox High School,2,Ag
243,Danville Junior-Senior High School,8,Ag
244,Essex Junior-Senior High School,16,Ag
245,Mormon Trail Jr-Sr High School,17,Ag
